catchment_id,2018-1,2018-2,2018-3,2018-4,2018-8,2018-10,2018-11,2018-12,2018-16,2018-18,2018-20,2018-21,2018-23,2018-24,2018-25,2018-26,2018-29,2018-41
100061,0.0016,0.2729,0.0746,0,0,0,0,0.0145,0,0.131,0,0,0.3123,0.0544,0.1243,0,0.0145,0
100086,0.0025,0.0888,0.0224,0,0,0,0.0095,0.0244,0,0.5108,0.0016,0.0047,0.1312,0.113,0.0419,0,0.0217,0.0273
100068,0,0.2155,0.0319,0,0,0,0,0,0,0.3875,0,0,0.3256,0.0112,0.0283,0,0,0
100085,0.0262,0.1712,0.055,0,0,0.0095,0.0115,0.021,0,0.4093,0.0012,0.0035,0.1315,0.0852,0.0347,0.0034,0.0163,0.0205
159783,0,0.1297,0.0063,0,0,0.0042,8e-4,0.0177,0.0018,0.412,0.0023,0,0.2685,0.1042,0.0231,0,0,0.0293
100044,0,0,0.0175,0,0,0,0,0,0,0.7275,0,0,0,0.25,0.005,0,0,0
100050,0,0.0623,0.0172,0,0,0,0.0101,0.0107,0,0.5633,0,0.0081,0.0766,0.1617,0.0368,0,0.0228,0.0304
100051,0,0.0345,0,0,0,0,0,0.0345,0,0.6379,0,0,0.1626,0.0222,0.1084,0,0,0
100057,0.0178,0.1328,0.0482,0,0,0.0044,0.0099,0.0232,0,0.4477,0.0013,0.0039,0.1364,0.0942,0.0359,0.0038,0.018,0.0226
100063,0.0208,0.2229,0.0513,0,4e-4,0.0071,0.0089,0.029,7e-4,0.3388,0.0016,0.0029,0.1776,0.0626,0.0476,0.0022,0.012,0.0135
100064,0,0.1533,0.019,4e-4,0,0.0063,0.0057,0.0167,0.0017,0.3829,0.0021,0,0.2632,0.1003,0.0213,0,0,0.0271
100072,0,0,0.0071,0,0,0,0,0,0,0.5504,0,0,0.21560000000000001,0.2128,0.0142,0,0,0